sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
396, 1780134, 367632, 358093, 345551, 354788, 177035, 177035
397, 1775369, 355675, 369937, 357342, 342637, 174889, 174889
398, 1778378, 369680, 353436, 340723, 356497, 179021, 179021
399, 1776660, 373774, 345232, 332840, 360786, 182014, 182014
400, 1779861, 368953, 365551, 352621, 356310, 168213, 168213
401, 1778326, 357301, 374492, 361291, 344666, 170288, 170288
402, 1777944, 370737, 353883, 341288, 357740, 177148, 177148
403, 1777914, 340090, 383005, 369937, 327836, 178523, 178523
404, 1779618, 362393, 364049, 351484, 349862, 175915, 175915
405, 1776698, 368407, 358323, 345166, 355484, 174659, 174659
406, 1782028, 371744, 347058, 334742, 359338, 184573, 184573
407, 1777374, 366563, 359310, 347049, 353648, 175402, 175402
408, 1779948, 371943, 354950, 342202, 359183, 175835, 175835
409, 1779513, 360942, 369844, 356931, 348180, 171808, 171808
410, 1777791, 372399, 356074, 343519, 359535, 173132, 173132
411, 1774899, 369456, 355645, 342708, 356184, 175453, 175453
412, 1777471, 366160, 361718, 348784, 353635, 173587, 173587
413, 1781255, 367773, 361827, 349085, 355054, 173758, 173758
414, 1780370, 365922, 359493, 346714, 353251, 177495, 177495
415, 1775192, 353020, 371915, 358729, 340288, 175620, 175620
416, 1775570, 356824, 373522, 360393, 344269, 170281, 170281
417, 1776634, 364976, 355076, 342520, 351978, 181042, 181042
418, 1776281, 378070, 341380, 328892, 364817, 181561, 181561
419, 1779034, 376716, 354571, 342082, 363599, 171033, 171033
420, 1773542, 357473, 366726, 353133, 344860, 175675, 175675
421, 1779021, 379690, 351389, 339188, 366478, 171138, 171138
422, 1775660, 357655, 366936, 353720, 345211, 176069, 176069
423, 1777881, 357545, 365422, 352666, 344872, 178688, 178688
424, 1776503, 352191, 370657, 357765, 339622, 178134, 178134
425, 1775612, 359662, 363456, 350562, 346736, 177598, 177598
426, 1773730, 358382, 366546, 353461, 345473, 174934, 174934
427, 1779155, 349143, 369276, 356555, 336743, 183719, 183719
428, 1782076, 363348, 372091, 359144, 350547, 168473, 168473
429, 1783675, 358072, 376080, 363349, 345618, 170278, 170278
430, 1777286, 362863, 366939, 354102, 349950, 171716, 171716
431, 1774805, 370345, 354471, 341739, 357516, 175367, 175367
432, 1777824, 363464, 362721, 349943, 350908, 175394, 175394
433, 1779193, 362326, 368191, 355323, 349487, 171933, 171933
434, 1778806, 370622, 355409, 342743, 357848, 176092, 176092
